#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
50852	9486049	5316831	0	0	176	99279	-38
50853	9486049	5316831	0	0	176	99277	-36
50854	9486049	5316831	0	0	176	99277	-36
50855	9486049	5316831	0	0	176	99283	-41
50856	9486049	5316831	0	0	176	99276	-35
50857	9486049	5316831	0	0	176	99271	-31
50858	9486049	5316831	0	0	176	99272	-32
50859	9486049	5316831	0	0	176	99277	-36
50860	9486049	5316831	0	0	176	99275	-34
50861	9486049	5316831	0	0	176	99276	-35
50862	9486049	5316831	0	0	176	99270	-30
50863	9486049	5316831	0	0	177	99270	-30
50864	9486049	5316831	0	0	177	99272	-32
50865	9486049	5316831	0	0	177	99274	-34
50866	9486049	5316831	0	0	177	99276	-35
50867	9486049	5316831	0	0	177	99277	-36
50868	9486049	5316831	0	0	177	99274	-34
50869	9486049	5316831	0	0	177	99270	-30
50870	9486049	5316831	0	0	177	99277	-36
50871	9486049	5316831	0	0	177	99277	-36
50872	9486049	5316831	0	0	177	99277	-36
50873	9486049	5316831	0	0	178	99278	-37
50874	9486049	5316831	0	0	178	99274	-34
50875	9486049	5316831	0	0	178	99273	-33
50876	9486049	5316831	0	0	178	99275	-34
50877	9486049	5316831	0	0	178	99273	-33
50878	9486049	5316831	0	0	178	99274	-34
50879	9486049	5316831	0	0	178	99274	-34
50880	9486049	5316831	0	0	178	99273	-33
50881	9486049	5316831	0	0	178	99277	-36
50882	9486049	5316831	0	0	178	99276	-35
50883	9486049	5316831	0	0	178	99278	-37
50884	9486049	5316831	0	0	179	99277	-36
50885	9486049	5316831	0	0	179	99270	-30
50886	9486049	5316831	0	0	179	99275	-34
50887	9486049	5316831	0	0	179	99274	-34
50888	9486049	5316831	0	0	179	99278	-37
50889	9486049	5316831	0	0	179	99281	-39
50890	9486049	5316831	0	0	179	99278	-37
50891	9486049	5316831	0	0	179	99283	-41
50892	9486049	5316831	0	0	179	99280	-39
50893	9486049	5316831	0	0	179	99282	-40
50894	9486049	5316831	0	0	180	99285	-43
50895	9486049	5316831	0	0	180	99283	-41
50896	9486049	5316831	0	0	180	99283	-41
50897	9486049	5316831	0	0	180	99280	-39
50898	9486049	5316831	0	0	180	99280	-39
50899	9486049	5316831	0	0	180	99279	-38
50900	9486049	5316831	46	0	180	99282	-40
50901	9486048	5316831	33	0	180	99280	-39
50902	9486046	5316831	22	0	180	99281	-39
50903	9486044	5316831	16	0	180	99274	-34
50904	9486044	5316831	16	0	180	99281	-39
50905	9486043	5316831	3	0	181	99278	-37
50906	9486043	5316831	20	0	181	99273	-33
50907	9486043	5316831	0	0	181	99274	-34
50908	9486044	5316831	0	0	181	99281	-39
50909	9486044	5316831	0	0	181	99279	-38
